DATE,consumer_loans
11/07/2007,316.7598
18/07/2007,318.1726
25/07/2007,317.5072
01/08/2007,313.3565
08/08/2007,314.772
15/08/2007,317.2159
22/08/2007,317.7821
29/08/2007,320.224
05/09/2007,320.1753
12/09/2007,318.4808
19/09/2007,325.4999
26/09/2007,324.4542
03/10/2007,319.872
10/10/2007,321.1449
17/10/2007,320.7687
24/10/2007,322.2758
31/10/2007,320.0996
07/11/2007,323.6864
14/11/2007,329.0352
21/11/2007,331.5854
28/11/2007,334.1061
05/12/2007,333.3101
12/12/2007,337.481
19/12/2007,345.3397
26/12/2007,344.6996
02/01/2008,341.7014
09/01/2008,338.8275
16/01/2008,339.6415
23/01/2008,340.331
30/01/2008,334.5235
06/02/2008,332.2842
13/02/2008,330.0624
20/02/2008,332.9556
27/02/2008,331.3353
05/03/2008,330.4014
12/03/2008,331.4122
19/03/2008,328.9682
26/03/2008,327.2587
02/04/2008,323.0477
09/04/2008,324.5177
16/04/2008,333.1067
23/04/2008,331.205
30/04/2008,330.9577
07/05/2008,331.2236
14/05/2008,331.4943
21/05/2008,329.5165
28/05/2008,330.5144
04/06/2008,328.3578
11/06/2008,328.1506
18/06/2008,333.0046
25/06/2008,332.4868
02/07/2008,329.342
09/07/2008,329.8005
16/07/2008,336.0813
23/07/2008,336.9334
30/07/2008,338.2586
06/08/2008,337.575
13/08/2008,337.5613
20/08/2008,343.1851
27/08/2008,344.0489
03/09/2008,342.5048
10/09/2008,342.1116
17/09/2008,346.7719
24/09/2008,348.4959
01/10/2008,366.0271
08/10/2008,366.6884
15/10/2008,374.737
22/10/2008,375.261
29/10/2008,378.6359
05/11/2008,378.4914
12/11/2008,380.8256
19/11/2008,385.1032
26/11/2008,382.7514
03/12/2008,382.1874
10/12/2008,381.2498
17/12/2008,385.8131
24/12/2008,385.361
31/12/2008,383.1425
07/01/2009,385.4704
14/01/2009,395.9918
21/01/2009,399.7652
28/01/2009,393.4843
04/02/2009,393.343
11/02/2009,392.9329
18/02/2009,398.5014
25/02/2009,397.3935
04/03/2009,391.6578
11/03/2009,393.1957
18/03/2009,385.676
25/03/2009,376.6665
01/04/2009,370.1392
08/04/2009,371.2599
15/04/2009,375.7592
