DATE,unemployment_claims
12/04/1980,3085000
19/04/1980,3188000
26/04/1980,3226000
03/05/1980,3334000
10/05/1980,3417000
17/05/1980,3544000
24/05/1980,3698000
31/05/1980,3731000
07/06/1980,3781000
14/06/1980,3779000
21/06/1980,3858000
28/06/1980,3912000
05/07/1980,3823000
12/07/1980,3836000
19/07/1980,3872000
26/07/1980,3851000
02/08/1980,3789000
09/08/1980,3862000
16/08/1980,3813000
23/08/1980,3754000
30/08/1980,3808000
06/09/1980,3698000
13/09/1980,3699000
20/09/1980,3698000
27/09/1980,3679000
04/10/1980,3672000
11/10/1980,3549000
18/10/1980,3477000
25/10/1980,3527000
01/11/1980,3391000
08/11/1980,3380000
15/11/1980,3260000
22/11/1980,3303000
29/11/1980,3169000
06/12/1980,3185000
13/12/1980,3125000
20/12/1980,3056000
27/12/1980,3136000
03/01/1981,3123000
10/01/1981,3082000
17/01/1981,3023000
24/01/1981,2988000
31/01/1981,2975000
07/02/1981,2945000
14/02/1981,3043000
21/02/1981,3023000
28/02/1981,2901000
07/03/1981,2931000
14/03/1981,2905000
21/03/1981,2885000
28/03/1981,2876000
04/04/1981,2875000
11/04/1981,2800000
18/04/1981,2860000
25/04/1981,2893000
02/05/1981,2944000
09/05/1981,2887000
16/05/1981,2865000
23/05/1981,2862000
30/05/1981,2962000
06/06/1981,2877000
13/06/1981,2867000
20/06/1981,2886000
27/06/1981,2983000
04/07/1981,2886000
11/07/1981,2845000
18/07/1981,2902000
25/07/1981,2899000
01/08/1981,2867000
08/08/1981,2998000
15/08/1981,2966000
22/08/1981,2957000
29/08/1981,2954000
05/09/1981,2914000
12/09/1981,3051000
19/09/1981,3014000
26/09/1981,3073000
03/10/1981,3069000
10/10/1981,3098000
17/10/1981,3104000
24/10/1981,3181000
31/10/1981,3183000
07/11/1981,3282000
14/11/1981,3291000
21/11/1981,3416000
28/11/1981,3360000
05/12/1981,3517000
12/12/1981,3397000
19/12/1981,3551000
26/12/1981,3636000
02/01/1982,3523000
09/01/1982,3398000
16/01/1982,3624000
23/01/1982,3602000
30/01/1982,3521000
06/02/1982,3617000
13/02/1982,3490000
20/02/1982,3562000
27/02/1982,3553000
06/03/1982,3619000
13/03/1982,3605000
20/03/1982,3684000
27/03/1982,3714000
03/04/1982,3720000
10/04/1982,3841000
17/04/1982,3967000
24/04/1982,3930000
01/05/1982,3960000
08/05/1982,3972000
15/05/1982,3968000
22/05/1982,4103000
29/05/1982,3956000
05/06/1982,4094000
12/06/1982,4121000
19/06/1982,4105000
26/06/1982,4057000
03/07/1982,4139000
10/07/1982,4025000
17/07/1982,4148000
24/07/1982,4155000
31/07/1982,4040000
07/08/1982,4191000
14/08/1982,4234000
21/08/1982,4300000
28/08/1982,4316000
04/09/1982,4356000
11/09/1982,4445000
18/09/1982,4468000
25/09/1982,4542000
02/10/1982,4629000
09/10/1982,4689000
16/10/1982,4599000
23/10/1982,4686000
30/10/1982,4595000
06/11/1982,4713000
13/11/1982,4554000
20/11/1982,4695000
27/11/1982,4442000
04/12/1982,4509000
11/12/1982,4339000
18/12/1982,4371000
25/12/1982,4381000
01/01/1983,4010000
08/01/1983,3885000
15/01/1983,3950000
22/01/1983,3860000
29/01/1983,3890000
05/02/1983,3877000
12/02/1983,3865000
19/02/1983,3819000
26/02/1983,3876000
05/03/1983,3797000
12/03/1983,3787000
19/03/1983,3752000
26/03/1983,3734000
02/04/1983,3759000
09/04/1983,3814000
16/04/1983,3744000
23/04/1983,3762000
30/04/1983,3722000
07/05/1983,3714000
14/05/1983,3625000
21/05/1983,3701000
28/05/1983,3457000
04/06/1983,3548000
11/06/1983,3453000
18/06/1983,3452000
25/06/1983,3369000
02/07/1983,3239000
09/07/1983,3226000
16/07/1983,3216000
23/07/1983,3155000
30/07/1983,3112000
06/08/1983,3106000
13/08/1983,3107000
20/08/1983,3131000
27/08/1983,3079000
03/09/1983,3055000
10/09/1983,3007000
17/09/1983,2993000
24/09/1983,2973000
01/10/1983,2926000
08/10/1983,2929000
15/10/1983,2913000
22/10/1983,2886000
29/10/1983,2860000
05/11/1983,2750000
12/11/1983,2789000
19/11/1983,2879000
26/11/1983,2733000
03/12/1983,2737000
10/12/1983,2666000
17/12/1983,2796000
24/12/1983,2718000
31/12/1983,2644000
07/01/1984,2588000
14/01/1984,2522000
21/01/1984,2531000
28/01/1984,2556000
04/02/1984,2531000
11/02/1984,2453000
18/02/1984,2425000
25/02/1984,2469000
03/03/1984,2441000
10/03/1984,2431000
17/03/1984,2426000
24/03/1984,2412000
31/03/1984,2412000
07/04/1984,2425000
14/04/1984,2396000
21/04/1984,2433000
28/04/1984,2435000
05/05/1984,2430000
12/05/1984,2386000
19/05/1984,2401000
26/05/1984,2323000
02/06/1984,2379000
09/06/1984,2391000
16/06/1984,2364000
23/06/1984,2339000
30/06/1984,2329000
07/07/1984,2375000
14/07/1984,2371000
21/07/1984,2337000
28/07/1984,2329000
04/08/1984,2332000
11/08/1984,2390000
18/08/1984,2416000
25/08/1984,2405000
01/09/1984,2410000
08/09/1984,2435000
15/09/1984,2434000
22/09/1984,2421000
29/09/1984,2474000
06/10/1984,2455000
13/10/1984,2538000
20/10/1984,2529000
27/10/1984,2574000
03/11/1984,2578000
10/11/1984,2545000
17/11/1984,2645000
24/11/1984,2569000
01/12/1984,2529000
08/12/1984,2589000
15/12/1984,2594000
22/12/1984,2487000
29/12/1984,2536000
05/01/1985,2593000
12/01/1985,2543000
19/01/1985,2472000
26/01/1985,2601000
02/02/1985,2632000
09/02/1985,2608000
16/02/1985,2613000
23/02/1985,2641000
02/03/1985,2571000
09/03/1985,2591000
16/03/1985,2578000
23/03/1985,2556000
30/03/1985,2526000
06/04/1985,2569000
13/04/1985,2600000
20/04/1985,2584000
27/04/1985,2562000
04/05/1985,2582000
11/05/1985,2569000
18/05/1985,2547000
25/05/1985,2545000
01/06/1985,2591000
08/06/1985,2564000
15/06/1985,2549000
22/06/1985,2550000
29/06/1985,2505000
06/07/1985,2609000
13/07/1985,2519000
20/07/1985,2520000
27/07/1985,2522000
03/08/1985,2518000
10/08/1985,2565000
17/08/1985,2574000
24/08/1985,2561000
31/08/1985,2595000
07/09/1985,2596000
14/09/1985,2590000
21/09/1985,2513000
28/09/1985,2623000
05/10/1985,2657000
12/10/1985,2569000
19/10/1985,2644000
26/10/1985,2657000
02/11/1985,2673000
09/11/1985,2612000
16/11/1985,2618000
23/11/1985,2585000
30/11/1985,2638000
07/12/1985,2744000
14/12/1985,2680000
21/12/1985,2543000
28/12/1985,2608000
04/01/1986,2694000
11/01/1986,2636000
18/01/1986,2516000
25/01/1986,2570000
01/02/1986,2531000
08/02/1986,2548000
15/02/1986,2569000
22/02/1986,2626000
01/03/1986,2570000
08/03/1986,2603000
15/03/1986,2589000
22/03/1986,2592000
29/03/1986,2614000
05/04/1986,2625000
12/04/1986,2570000
19/04/1986,2613000
26/04/1986,2627000
03/05/1986,2670000
10/05/1986,2670000
17/05/1986,2669000
24/05/1986,2638000
31/05/1986,2708000
07/06/1986,2653000
14/06/1986,2644000
21/06/1986,2637000
28/06/1986,2606000
05/07/1986,2669000
12/07/1986,2552000
19/07/1986,2593000
26/07/1986,2618000
02/08/1986,2583000
09/08/1986,2686000
16/08/1986,2658000
23/08/1986,2687000
30/08/1986,2664000
06/09/1986,2756000
13/09/1986,2671000
20/09/1986,2703000
27/09/1986,2698000
04/10/1986,2780000
11/10/1986,2665000
18/10/1986,2723000
25/10/1986,2707000
01/11/1986,2646000
08/11/1986,2614000
15/11/1986,2653000
22/11/1986,2555000
29/11/1986,2686000
06/12/1986,2634000
13/12/1986,2587000
20/12/1986,2499000
27/12/1986,2565000
03/01/1987,2590000
10/01/1987,2508000
17/01/1987,2443000
24/01/1987,2506000
31/01/1987,2515000
07/02/1987,2496000
14/02/1987,2451000
21/02/1987,2481000
28/02/1987,2460000
07/03/1987,2456000
14/03/1987,2450000
21/03/1987,2401000
28/03/1987,2410000
04/04/1987,2482000
11/04/1987,2366000
18/04/1987,2410000
25/04/1987,2386000
02/05/1987,2302000
09/05/1987,2347000
16/05/1987,2326000
23/05/1987,2275000
30/05/1987,2370000
06/06/1987,2259000
13/06/1987,2278000
20/06/1987,2258000
27/06/1987,2321000
04/07/1987,2173000
11/07/1987,2155000
18/07/1987,2211000
25/07/1987,2247000
01/08/1987,2232000
08/08/1987,2263000
15/08/1987,2194000
22/08/1987,2190000
29/08/1987,2179000
05/09/1987,2125000
12/09/1987,2172000
19/09/1987,2351000
26/09/1987,2139000
03/10/1987,2151000
10/10/1987,2101000
17/10/1987,2074000
24/10/1987,1966000
31/10/1987,1942000
07/11/1987,2054000
14/11/1987,2109000
21/11/1987,2064000
28/11/1987,2102000
05/12/1987,2125000
12/12/1987,2092000
19/12/1987,2105000
26/12/1987,2140000
02/01/1988,2096000
09/01/1988,2231000
16/01/1988,2186000
23/01/1988,2214000
30/01/1988,2213000
06/02/1988,2180000
13/02/1988,2184000
20/02/1988,2091000
27/02/1988,2111000
05/03/1988,2147000
12/03/1988,2112000
19/03/1988,2112000
26/03/1988,2077000
02/04/1988,2086000
09/04/1988,2104000
16/04/1988,2072000
23/04/1988,2067000
30/04/1988,2077000
07/05/1988,2059000
14/05/1988,2068000
21/05/1988,2099000
28/05/1988,2045000
04/06/1988,2040000
11/06/1988,2068000
18/06/1988,2034000
25/06/1988,2030000
02/07/1988,2035000
09/07/1988,2027000
16/07/1988,2073000
23/07/1988,2083000
30/07/1988,2108000
06/08/1988,2101000
13/08/1988,2070000
20/08/1988,2099000
27/08/1988,2082000
03/09/1988,2091000
10/09/1988,2053000
17/09/1988,2106000
24/09/1988,2053000
01/10/1988,2041000
08/10/1988,2017000
15/10/1988,1994000
22/10/1988,2011000
29/10/1988,2015000
05/11/1988,1898000
12/11/1988,2011000
19/11/1988,1981000
26/11/1988,2023000
03/12/1988,2006000
10/12/1988,2013000
17/12/1988,2054000
24/12/1988,2061000
31/12/1988,2092000
07/01/1989,2056000
14/01/1989,2069000
21/01/1989,2048000
28/01/1989,2071000
04/02/1989,2074000
11/02/1989,2103000
18/02/1989,2111000
25/02/1989,2167000
04/03/1989,2110000
11/03/1989,2163000
18/03/1989,2108000
25/03/1989,2145000
01/04/1989,2117000
08/04/1989,2117000
15/04/1989,2092000
22/04/1989,2104000
29/04/1989,2064000
06/05/1989,2089000
13/05/1989,2144000
20/05/1989,2085000
27/05/1989,2056000
03/06/1989,2117000
10/06/1989,2110000
17/06/1989,2113000
24/06/1989,2151000
01/07/1989,2133000
08/07/1989,2207000
15/07/1989,2217000
22/07/1989,2159000
29/07/1989,2181000
05/08/1989,2236000
12/08/1989,2214000
19/08/1989,2195000
26/08/1989,2184000
02/09/1989,2199000
09/09/1989,2207000
16/09/1989,2169000
23/09/1989,2249000
30/09/1989,2220000
07/10/1989,2279000
14/10/1989,2293000
21/10/1989,2295000
28/10/1989,2257000
04/11/1989,2280000
11/11/1989,2271000
18/11/1989,2289000
25/11/1989,2300000
02/12/1989,2271000
09/12/1989,2265000
16/12/1989,2295000
23/12/1989,2292000
30/12/1989,2302000
06/01/1990,2347000
13/01/1990,2349000
20/01/1990,2407000
27/01/1990,2316000
03/02/1990,2364000
10/02/1990,2323000
17/02/1990,2382000
24/02/1990,2347000
03/03/1990,2385000
10/03/1990,2341000
17/03/1990,2384000
24/03/1990,2344000
31/03/1990,2365000
07/04/1990,2323000
14/04/1990,2410000
21/04/1990,2385000
28/04/1990,2403000
05/05/1990,2374000
12/05/1990,2374000
19/05/1990,2381000
26/05/1990,2431000
02/06/1990,2406000
09/06/1990,2438000
16/06/1990,2402000
23/06/1990,2431000
30/06/1990,2442000
07/07/1990,2487000
14/07/1990,2498000
21/07/1990,2441000
28/07/1990,2461000
04/08/1990,2460000
11/08/1990,2500000
18/08/1990,2537000
25/08/1990,2540000
01/09/1990,2579000
08/09/1990,2585000
15/09/1990,2591000
22/09/1990,2578000
29/09/1990,2644000
06/10/1990,2621000
13/10/1990,2753000
20/10/1990,2722000
27/10/1990,2787000
03/11/1990,2813000
10/11/1990,2789000
17/11/1990,2996000
24/11/1990,2955000
01/12/1990,2918000
08/12/1990,3000000
15/12/1990,2984000
22/12/1990,3001000
29/12/1990,2938000
05/01/1991,3062000
12/01/1991,3111000
19/01/1991,3017000
26/01/1991,3162000
02/02/1991,3228000
09/02/1991,3226000
16/02/1991,3293000
23/02/1991,3304000
02/03/1991,3357000
09/03/1991,3384000
16/03/1991,3448000
23/03/1991,3404000
30/03/1991,3502000
06/04/1991,3493000
13/04/1991,3464000
20/04/1991,3502000
27/04/1991,3474000
