DATE,imports (million USD)
01/05/2015,186571.1
01/06/2015,197380.4
01/07/2015,193673.9
01/08/2015,189979.3
01/09/2015,191544.6
01/10/2015,195248.9
01/11/2015,182176.2
01/12/2015,179765.3
01/01/2016,165816.2
01/02/2016,168042.1
01/03/2016,178405.4
01/04/2016,173964
01/05/2016,183394.3
01/06/2016,188539.3
01/07/2016,181779.4
01/08/2016,193986.7
01/09/2016,185985.6
01/10/2016,191999.7
01/11/2016,191156.7
01/12/2016,183716.5
01/01/2017,185653.7
01/02/2017,169238.1
01/03/2017,194066.1
01/04/2017,185868.2
01/05/2017,200330.9
01/06/2017,198174.4
01/07/2017,191754.5
01/08/2017,201557.2
01/09/2017,194517.3
01/10/2017,210605.9
01/11/2017,207578.7
01/12/2017,200246.4
01/01/2018,203028.9
01/02/2018,186770.2
01/03/2018,207985.5
01/04/2018,205084.4
01/05/2018,216026.5
01/06/2018,211252.7
01/07/2018,216854.2
01/08/2018,221897
01/09/2018,211317.5
01/10/2018,235857.7
01/11/2018,213493
01/12/2018,206577.7
01/01/2019,203980.7
01/02/2019,185267.5
01/03/2019,207511
01/04/2019,208742.1
01/05/2019,220207.6
01/06/2019,206531.6
01/07/2019,218311.1
01/08/2019,215245.8
01/09/2019,206148.9
01/10/2019,218901.1
01/11/2019,198974.6
01/12/2019,201877.4
01/01/2020,195796.2
01/02/2020,178108
01/03/2020,193922.8
01/04/2020,165611.9
01/05/2020,163494.1
01/06/2020,179138.1
01/07/2020,199927.7
01/08/2020,203112
01/09/2020,206083.7
01/10/2020,218952.6
01/11/2020,212453.3
01/12/2020,214876.8
01/01/2021,204638.9
01/02/2021,193444.8
01/03/2021,236920.5
01/04/2021,226454.3
01/05/2021,230405.4
01/06/2021,242328.9
01/07/2021,237297.4
01/08/2021,245205.3
01/09/2021,244374.7
01/10/2021,251297.4
01/11/2021,259414.4
01/12/2021,257092.8
01/01/2022,247065.3
01/02/2022,234218.6
01/03/2022,295975.4
01/04/2022,273176.8
01/05/2022,285388.2
01/06/2022,286285.2
01/07/2022,270907.4
01/08/2022,283635.4
01/09/2022,275343.2
01/10/2022,281736.6
01/11/2022,255967.3
01/12/2022,252830.3
01/01/2023,254438.5
01/02/2023,230706.8
01/03/2023,262756.3
01/04/2023,250751.8
01/05/2023,264348.9
01/06/2023,257886.6
01/07/2023,255665.9
01/08/2023,266026.9
01/09/2023,261306.3
01/10/2023,276809.7
