DATE,personal_saving_rate
01/12/2008,6.2
01/01/2009,6.2
01/02/2009,5.6
01/03/2009,5.9
01/04/2009,6.6
01/05/2009,7.9
01/06/2009,6.2
01/07/2009,5.5
01/08/2009,4.5
01/09/2009,5.6
01/10/2009,5.2
01/11/2009,5.6
01/12/2009,5.6
01/01/2010,5.9
01/02/2010,5.6
01/03/2010,5.6
01/04/2010,6.2
01/05/2010,6.7
01/06/2010,6.5
01/07/2010,6.4
01/08/2010,6.5
01/09/2010,6.5
01/10/2010,6.3
01/11/2010,6.1
01/12/2010,6.5
01/01/2011,6.9
01/02/2011,7.2
01/03/2011,6.6
01/04/2011,6.6
01/05/2011,6.5
01/06/2011,6.7
01/07/2011,6.9
01/08/2011,6.9
01/09/2011,6.5
01/10/2011,6.5
01/11/2011,6.6
01/12/2011,7.5
01/01/2012,7.8
01/02/2012,7.8
01/03/2012,8.2
01/04/2012,8.5
01/05/2012,8.6
01/06/2012,8.6
01/07/2012,7.8
01/08/2012,7.6
01/09/2012,8.1
01/10/2012,8.7
01/11/2012,9.5
01/12/2012,11.6
01/01/2013,5.9
01/02/2013,5.6
01/03/2013,5.9
01/04/2013,6.2
01/05/2013,6.4
01/06/2013,6.5
01/07/2013,6.3
01/08/2013,6.4
01/09/2013,6.5
01/10/2013,6
01/11/2013,5.8
01/12/2013,6
01/01/2014,6.7
01/02/2014,6.6
01/03/2014,6.7
01/04/2014,6.9
01/05/2014,7.1
01/06/2014,7.1
01/07/2014,7.2
01/08/2014,7
01/09/2014,7.2
01/10/2014,7.1
01/11/2014,7.3
01/12/2014,7.7
01/01/2015,8
01/02/2015,8.1
01/03/2015,7.7
01/04/2015,7.6
01/05/2015,7.5
01/06/2015,7.4
01/07/2015,7.3
01/08/2015,7.3
01/09/2015,7.4
01/10/2015,7.5
01/11/2015,7.3
01/12/2015,7.4
01/01/2016,7.7
01/02/2016,7.2
01/03/2016,7.6
01/04/2016,7.2
01/05/2016,6.9
01/06/2016,6.6
01/07/2016,6.8
01/08/2016,6.8
01/09/2016,6.8
01/10/2016,6.9
01/11/2016,7
01/12/2016,6.5
01/01/2017,6.9
01/02/2017,7.2
01/03/2017,7.2
01/04/2017,7.3
01/05/2017,7.8
01/06/2017,7.5
